b,g,r,classe
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,2,254,0
0,2,254,0
1,3,255,0
1,3,255,0
1,3,254,0
1,3,254,0
1,3,255,0
1,3,255,0
0,3,255,0
0,2,255,0
2,4,255,0
0,2,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
0,3,255,0
1,3,254,0
1,3,254,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
1,3,255,0
0,3,250,0
2,3,251,0
1,4,250,0
3,3,254,0
2,2,250,0
2,4,252,0
3,4,251,0
0,2,254,0
17,20,227,0
16,20,225,0
15,19,223,0
13,17,220,0
12,18,218,0
12,16,216,0
8,14,209,0
10,15,208,0
19,25,236,0
22,30,236,0
19,24,236,0
23,28,237,0
24,31,234,0
25,31,237,0
21,29,227,0
19,27,229,0
16,21,228,0
16,20,225,0
18,22,232,0
16,19,223,0
10,16,217,0
10,15,214,0
8,15,217,0
8,15,217,0
10,16,223,0
10,16,224,0
12,15,227,0
12,15,228,0
13,18,226,0
13,18,225,0
14,17,228,0
13,17,228,0
27,30,225,0
15,22,218,0
31,33,225,0
23,25,220,0
138,102,40,1
139,103,40,1
141,106,41,1
135,100,37,1
132,97,34,1
133,97,35,1
131,95,33,1
133,97,37,1
139,104,38,1
136,100,37,1
135,99,35,1
134,98,36,1
132,96,37,1
131,94,35,1
131,93,35,1
130,93,35,1
107,74,25,1
107,73,27,1
105,73,26,1
105,74,27,1
103,70,21,1
108,75,29,1
107,73,26,1
105,72,26,1
93,63,24,1
94,63,24,1
96,66,27,1
94,63,25,1
92,62,23,1
94,65,24,1
92,61,23,1
90,60,19,1
92,62,23,1
92,63,25,1
93,64,25,1
92,64,23,1
95,68,26,1
102,74,32,1
97,65,28,1
105,76,30,1
102,71,24,1
104,72,25,1
103,74,26,1
106,75,28,1
96,64,24,1
96,65,27,1
96,69,25,1
93,64,23,1
94,66,23,1
98,68,27,1
93,64,23,1
92,63,22,1
121,87,34,1
126,93,36,1
110,76,26,1
115,81,28,1
119,83,35,1
121,88,40,1
108,71,24,1
113,77,32,1
92,64,24,1
90,63,22,1
93,63,25,1
92,63,23,1
102,70,26,1
101,68,25,1
98,67,22,1
103,69,26,1
98,67,26,1
98,67,24,1
96,66,25,1
96,65,24,1
233,239,239,2
126,133,132,2
61,69,67,2
173,180,179,2
253,255,255,2
253,255,255,2
253,255,255,2
253,255,255,2
251,254,251,2
251,254,251,2
251,254,250,2
251,254,251,2
250,253,250,2
252,255,252,2
250,253,250,2
252,255,252,2
252,253,254,2
251,253,254,2
252,254,252,2
251,253,253,2
251,254,251,2
251,254,250,2
251,254,251,2
251,254,250,2
250,254,251,2
251,254,251,2
250,254,251,2
251,254,251,2
249,253,250,2
249,253,250,2
248,252,249,2
248,252,249,2
242,249,244,2
245,248,245,2
244,250,246,2
243,250,245,2
242,246,245,2
243,248,244,2
244,248,248,2
242,247,244,2
246,243,233,2
248,246,235,2
251,246,235,2
252,247,237,2
247,242,233,2
244,241,232,2
251,242,235,2
245,241,232,2
252,242,232,2
250,241,230,2
250,241,231,2
250,240,231,2
253,244,230,2
251,242,228,2
253,244,229,2
251,242,228,2
252,240,230,2
252,243,228,2
252,240,229,2
252,243,228,2
252,242,229,2
251,243,230,2
252,243,228,2
251,243,229,2
233,232,227,2
235,233,229,2
233,234,230,2
234,234,230,2
248,246,235,2
246,245,236,2
252,247,237,2
247,246,235,2
84,151,206,3
92,157,209,3
74,141,198,3
84,148,201,3
120,166,230,3
126,172,233,3
119,168,231,3
126,174,233,3
129,162,229,3
127,163,226,3
138,172,231,3
130,168,229,3
47,69,167,3
48,74,167,3
43,69,153,3
45,75,160,3
114,170,221,3
108,164,216,3
113,168,221,3
110,164,218,3
94,158,217,3
95,162,221,3
97,163,219,3
92,158,216,3
119,171,229,3
118,170,227,3
123,176,231,3
121,173,226,3
124,172,229,3
124,171,225,3
123,170,226,3
126,171,229,3
88,120,179,3
83,115,174,3
84,117,178,3
85,118,179,3
80,122,167,3
82,124,171,3
78,120,165,3
79,120,168,3
63,102,151,3
63,101,151,3
62,103,154,3
64,104,154,3
72,108,170,3
70,106,168,3
75,110,173,3
70,106,169,3
56,87,147,3
54,85,143,3
71,103,166,3
72,106,168,3
49,85,137,3
51,85,135,3
52,83,133,3
53,85,134,3
50,84,134,3
50,86,137,3
49,81,130,3
39,74,124,3
57,94,156,3
56,90,156,3
55,90,153,3
55,91,152,3
60,91,153,3
58,88,153,3
57,90,153,3
54,87,150,3
62,89,141,3
50,76,132,3
58,87,139,3
65,93,148,3
82,132,199,3
79,128,196,3
77,126,193,3
80,126,194,3
132,166,224,3
135,171,227,3
135,170,227,3
140,177,232,3
115,152,211,3
120,157,215,3
129,165,223,3
127,165,223,3
124,162,222,3
111,148,208,3
112,151,210,3
117,156,215,3
131,168,225,3
128,166,223,3
128,166,225,3
128,168,227,3
