tipo_label,pixels
1,"[[[  0   0]]

 [[  0 899]]

 [[999 899]]

 [[999   0]]]"
1,"[[[775 869]]

 [[777 871]]

 [[777 872]]

 [[778 873]]

 [[778 874]]

 [[779 875]]

 [[779 876]]

 [[780 877]]

 [[780 878]]

 [[781 879]]

 [[781 880]]

 [[780 881]]

 [[770 881]]

 [[769 880]]

 [[769 879]]

 [[770 878]]

 [[770 877]]

 [[771 876]]

 [[771 875]]

 [[772 874]]

 [[772 873]]

 [[773 872]]

 [[773 871]]]"
1,"[[[625 869]]

 [[627 871]]

 [[627 872]]

 [[628 873]]

 [[628 874]]

 [[629 875]]

 [[629 876]]

 [[630 877]]

 [[630 878]]

 [[631 879]]

 [[631 880]]

 [[630 881]]

 [[620 881]]

 [[619 880]]

 [[619 879]]

 [[620 878]]

 [[620 877]]

 [[621 876]]

 [[621 875]]

 [[622 874]]

 [[622 873]]

 [[623 872]]

 [[623 871]]]"
1,"[[[725 868]]

 [[727 870]]

 [[727 871]]

 [[728 872]]

 [[728 873]]

 [[729 874]]

 [[729 875]]

 [[730 876]]

 [[730 877]]

 [[731 878]]

 [[731 879]]

 [[732 880]]

 [[732 881]]

 [[731 882]]

 [[719 882]]

 [[718 881]]

 [[718 880]]

 [[719 879]]

 [[719 878]]

 [[720 877]]

 [[720 876]]

 [[721 875]]

 [[721 874]]

 [[722 873]]

 [[722 872]]

 [[723 871]]

 [[723 870]]]"
1,"[[[825 866]]

 [[827 868]]

 [[827 869]]

 [[828 870]]

 [[828 871]]

 [[829 872]]

 [[829 873]]

 [[830 874]]

 [[830 875]]

 [[831 876]]

 [[831 877]]

 [[832 878]]

 [[832 879]]

 [[833 880]]

 [[833 881]]

 [[834 882]]

 [[834 883]]

 [[833 884]]

 [[817 884]]

 [[816 883]]

 [[816 882]]

 [[817 881]]

 [[817 880]]

 [[818 879]]

 [[818 878]]

 [[819 877]]

 [[819 876]]

 [[820 875]]

 [[820 874]]

 [[821 873]]

 [[821 872]]

 [[822 871]]

 [[822 870]]

 [[823 869]]

 [[823 868]]]"
1,"[[[325 866]]

 [[327 868]]

 [[327 869]]

 [[328 870]]

 [[328 871]]

 [[329 872]]

 [[329 873]]

 [[330 874]]

 [[330 875]]

 [[331 876]]

 [[331 877]]

 [[332 878]]

 [[332 879]]

 [[333 880]]

 [[333 881]]

 [[334 882]]

 [[334 883]]

 [[333 884]]

 [[317 884]]

 [[316 883]]

 [[316 882]]

 [[317 881]]

 [[317 880]]

 [[318 879]]

 [[318 878]]

 [[319 877]]

 [[319 876]]

 [[320 875]]

 [[320 874]]

 [[321 873]]

 [[321 872]]

 [[322 871]]

 [[322 870]]

 [[323 869]]

 [[323 868]]]"
1,"[[[225 865]]

 [[227 867]]

 [[227 868]]

 [[228 869]]

 [[228 870]]

 [[229 871]]

 [[229 872]]

 [[230 873]]

 [[230 874]]

 [[231 875]]

 [[231 876]]

 [[232 877]]

 [[232 878]]

 [[233 879]]

 [[233 880]]

 [[234 881]]

 [[234 882]]

 [[235 883]]

 [[235 884]]

 [[234 885]]

 [[216 885]]

 [[215 884]]

 [[215 883]]

 [[216 882]]

 [[216 881]]

 [[217 880]]

 [[217 879]]

 [[218 878]]

 [[218 877]]

 [[219 876]]

 [[219 875]]

 [[220 874]]

 [[220 873]]

 [[221 872]]

 [[221 871]]

 [[222 870]]

 [[222 869]]

 [[223 868]]

 [[223 867]]]"
1,"[[[125 864]]

 [[127 866]]

 [[127 867]]

 [[128 868]]

 [[128 869]]

 [[129 870]]

 [[129 871]]

 [[130 872]]

 [[130 873]]

 [[131 874]]

 [[131 875]]

 [[132 876]]

 [[132 877]]

 [[133 878]]

 [[133 879]]

 [[134 880]]

 [[134 881]]

 [[135 882]]

 [[135 883]]

 [[136 884]]

 [[136 885]]

 [[135 886]]

 [[115 886]]

 [[114 885]]

 [[114 884]]

 [[115 883]]

 [[115 882]]

 [[116 881]]

 [[116 880]]

 [[117 879]]

 [[117 878]]

 [[118 877]]

 [[118 876]]

 [[119 875]]

 [[119 874]]

 [[120 873]]

 [[120 872]]

 [[121 871]]

 [[121 870]]

 [[122 869]]

 [[122 868]]

 [[123 867]]

 [[123 866]]]"
1,"[[[925 863]]

 [[927 865]]

 [[927 866]]

 [[928 867]]

 [[928 868]]

 [[929 869]]

 [[929 870]]

 [[930 871]]

 [[930 872]]

 [[931 873]]

 [[931 874]]

 [[932 875]]

 [[932 876]]

 [[933 877]]

 [[933 878]]

 [[934 879]]

 [[934 880]]

 [[935 881]]

 [[935 882]]

 [[936 883]]

 [[936 884]]

 [[937 885]]

 [[937 886]]

 [[936 887]]

 [[914 887]]

 [[913 886]]

 [[913 885]]

 [[914 884]]

 [[914 883]]

 [[915 882]]

 [[915 881]]

 [[916 880]]

 [[916 879]]

 [[917 878]]

 [[917 877]]

 [[918 876]]

 [[918 875]]

 [[919 874]]

 [[919 873]]

 [[920 872]]

 [[920 871]]

 [[921 870]]

 [[921 869]]

 [[922 868]]

 [[922 867]]

 [[923 866]]

 [[923 865]]]"
1,"[[[375 863]]

 [[377 865]]

 [[377 866]]

 [[378 867]]

 [[378 868]]

 [[379 869]]

 [[379 870]]

 [[380 871]]

 [[380 872]]

 [[381 873]]

 [[381 874]]

 [[382 875]]

 [[382 876]]

 [[383 877]]

 [[383 878]]

 [[384 879]]

 [[384 880]]

 [[385 881]]

 [[385 882]]

 [[386 883]]

 [[386 884]]

 [[387 885]]

 [[387 886]]

 [[386 887]]

 [[364 887]]

 [[363 886]]

 [[363 885]]

 [[364 884]]

 [[364 883]]

 [[365 882]]

 [[365 881]]

 [[366 880]]

 [[366 879]]

 [[367 878]]

 [[367 877]]

 [[368 876]]

 [[368 875]]

 [[369 874]]

 [[369 873]]

 [[370 872]]

 [[370 871]]

 [[371 870]]

 [[371 869]]

 [[372 868]]

 [[372 867]]

 [[373 866]]

 [[373 865]]]"
1,"[[[175 862]]

 [[177 864]]

 [[177 865]]

 [[178 866]]

 [[178 867]]

 [[179 868]]

 [[179 869]]

 [[180 870]]

 [[180 871]]

 [[181 872]]

 [[181 873]]

 [[182 874]]

 [[182 875]]

 [[183 876]]

 [[183 877]]

 [[184 878]]

 [[184 879]]

 [[185 880]]

 [[185 881]]

 [[186 882]]

 [[186 883]]

 [[187 884]]

 [[187 885]]

 [[188 886]]

 [[188 887]]

 [[187 888]]

 [[163 888]]

 [[162 887]]

 [[162 886]]

 [[163 885]]

 [[163 884]]

 [[164 883]]

 [[164 882]]

 [[165 881]]

 [[165 880]]

 [[166 879]]

 [[166 878]]

 [[167 877]]

 [[167 876]]

 [[168 875]]

 [[168 874]]

 [[169 873]]

 [[169 872]]

 [[170 871]]

 [[170 870]]

 [[171 869]]

 [[171 868]]

 [[172 867]]

 [[172 866]]

 [[173 865]]

 [[173 864]]]"
1,"[[[ 75 862]]

 [[ 77 864]]

 [[ 77 865]]

 [[ 78 866]]

 [[ 78 867]]

 [[ 79 868]]

 [[ 79 869]]

 [[ 80 870]]

 [[ 80 871]]

 [[ 81 872]]

 [[ 81 873]]

 [[ 82 874]]

 [[ 82 875]]

 [[ 83 876]]

 [[ 83 877]]

 [[ 84 878]]

 [[ 84 879]]

 [[ 85 880]]

 [[ 85 881]]

 [[ 86 882]]

 [[ 86 883]]

 [[ 87 884]]

 [[ 87 885]]

 [[ 88 886]]

 [[ 88 887]]

 [[ 87 888]]

 [[ 63 888]]

 [[ 62 887]]

 [[ 62 886]]

 [[ 63 885]]

 [[ 63 884]]

 [[ 64 883]]

 [[ 64 882]]

 [[ 65 881]]

 [[ 65 880]]

 [[ 66 879]]

 [[ 66 878]]

 [[ 67 877]]

 [[ 67 876]]

 [[ 68 875]]

 [[ 68 874]]

 [[ 69 873]]

 [[ 69 872]]

 [[ 70 871]]

 [[ 70 870]]

 [[ 71 869]]

 [[ 71 868]]

 [[ 72 867]]

 [[ 72 866]]

 [[ 73 865]]

 [[ 73 864]]]"
1,"[[[575 861]]

 [[577 863]]

 [[577 864]]

 [[578 865]]

 [[578 866]]

 [[579 867]]

 [[579 868]]

 [[580 869]]

 [[580 870]]

 [[581 871]]

 [[581 872]]

 [[582 873]]

 [[582 874]]

 [[583 875]]

 [[583 876]]

 [[584 877]]

 [[584 878]]

 [[585 879]]

 [[585 880]]

 [[586 881]]

 [[586 882]]

 [[587 883]]

 [[587 884]]

 [[588 885]]

 [[588 886]]

 [[589 887]]

 [[589 888]]

 [[588 889]]

 [[562 889]]

 [[561 888]]

 [[561 887]]

 [[562 886]]

 [[562 885]]

 [[563 884]]

 [[563 883]]

 [[564 882]]

 [[564 881]]

 [[565 880]]

 [[565 879]]

 [[566 878]]

 [[566 877]]

 [[567 876]]

 [[567 875]]

 [[568 874]]

 [[568 873]]

 [[569 872]]

 [[569 871]]

 [[570 870]]

 [[570 869]]

 [[571 868]]

 [[571 867]]

 [[572 866]]

 [[572 865]]

 [[573 864]]

 [[573 863]]]"
1,"[[[275 861]]

 [[277 863]]

 [[277 864]]

 [[278 865]]

 [[278 866]]

 [[279 867]]

 [[279 868]]

 [[280 869]]

 [[280 870]]

 [[281 871]]

 [[281 872]]

 [[282 873]]

 [[282 874]]

 [[283 875]]

 [[283 876]]

 [[284 877]]

 [[284 878]]

 [[285 879]]

 [[285 880]]

 [[286 881]]

 [[286 882]]

 [[287 883]]

 [[287 884]]

 [[288 885]]

 [[288 886]]

 [[289 887]]

 [[289 888]]

 [[288 889]]

 [[262 889]]

 [[261 888]]

 [[261 887]]

 [[262 886]]

 [[262 885]]

 [[263 884]]

 [[263 883]]

 [[264 882]]

 [[264 881]]

 [[265 880]]

 [[265 879]]

 [[266 878]]

 [[266 877]]

 [[267 876]]

 [[267 875]]

 [[268 874]]

 [[268 873]]

 [[269 872]]

 [[269 871]]

 [[270 870]]

 [[270 869]]

 [[271 868]]

 [[271 867]]

 [[272 866]]

 [[272 865]]

 [[273 864]]

 [[273 863]]]"
